year,status,description
2014,Candidate,
2014,Candidate,"filesystembytecodecache in jinja2 2.7.2 does not properly create temporary directories, which allows local users to gain privileges by pre-creating a temporary directory with a user's uid.  note: this vulnerability exists because of an incomplete fix for cve-2014-1402."
2014,Candidate,
2014,Candidate,
2014,Candidate,"curl and libcurl 7.10.6 through 7.34.0, when more than one authentication method is enabled, re-uses ntlm connections, which might allow context-dependent attackers to authenticate as other users via a request."
2014,Candidate,"stunnel before 5.00, when using fork threading, does not properly update the state of the openssl pseudo-random number generator (prng), which causes subsequent children with the same process id to use the same entropy pool and allows remote attackers to obtain private keys for ec (ecdsa) or dsa certificates."
2014,Candidate,"the rand_bytes function in libssh before 0.6.3, when forking is enabled, does not properly reset the state of the openssl pseudo-random number generator (prng), which causes the state to be shared between children processes and allows local users to obtain sensitive information by leveraging a pid collision."
2014,Candidate,"red hat jboss enterprise application platform (jbeap) 6.2.0 and jboss wildfly application server, when run under a security manager, do not properly restrict access to the modular service container (msc) service registry, which allows local users to modify the server via a crafted deployment."
2014,Candidate,stack-based buffer overflow in socat 1.3.0.0 through 1.7.2.2 and 2.0.0-b1 through 2.0.0-b6 allows local users to cause a denial of service (segmentation fault) via a long server name in the proxy-connect address in the command line.
2014,Candidate,"the irc protocol plugin in libpurple in pidgin before 2.10.8 does not validate argument counts, which allows remote irc servers to cause a denial of service (application crash) via a crafted message."
2014,Candidate,
2014,Candidate,"the installupdates function in yum-cron/yum-cron.py in yum 3.4.3 and earlier does not properly check the return value of the sigcheckpkg function, which allows remote attackers to bypass the rmp package signing restriction via an unsigned package."
2014,Candidate,
2014,Candidate,
2014,Candidate,
2014,Candidate,
2014,Candidate,the play_wave_from_socket function in audio/auserver.c in flite 1.4 allows local users to modify arbitrary files via a symlink attack on /tmp/awb.wav.  note: some of these details are obtained from third party information.
2014,Candidate,libvirt 1.1.1 through 1.2.0 allows context-dependent attackers to bypass the domain:getattr and connect:search_domains restrictions in acls and obtain sensitive domain object information via a request to the (1) virconnectdomaineventregister and (2) virconnectdomaineventregisterany functions in the event registration api.
2014,Candidate,
2014,Candidate,
2014,Candidate,the (1) listnetworkacl and (2) listnetworkacllists apis in apache cloudstack before 4.2.1 allow remote authenticated users to list network acls for other users via a crafted request.
2014,Candidate,"the get_resource function in repos.c in the mod_dav_svn module in apache subversion before 1.7.15 and 1.8.x before 1.8.6, when svnlistparentpath is enabled, allows remote attackers to cause a denial of service (crash) via vectors related to the server root and request methods other than get, as demonstrated by the ""svn ls http://svn.example.com"" command."
2014,Candidate,"org/apache/catalina/connector/coyoteadapter.java in apache tomcat 6.0.33 through 6.0.37 does not consider the disableurlrewriting setting when handling a session id in a url, which allows remote attackers to conduct session fixation attacks via a crafted url."
2014,Candidate,"the securitytokenservice (sts) in apache cxf before 2.6.12 and 2.7.x before 2.7.9 does not properly validate saml tokens when caching is enabled, which allows remote attackers to gain access via an invalid saml token."
2014,Candidate,"the symmetricbinding in apache cxf before 2.6.13 and 2.7.x before 2.7.10, when encryptbeforesigning is enabled and the usernametoken policy is set to an encryptedsupportingtoken, transmits the usernametoken in cleartext, which allows remote attackers to obtain sensitive information by sniffing the network."
2014,Candidate,"the rbovirt gem before 0.0.24 for ruby uses the rest-client gem with ssl verification disabled, which allows remote attackers to conduct man-in-the-middle attacks via unspecified vectors."
2014,Candidate,"the validateuserlogon function in provider/libserver/ecsession.cpp in zarafa 5.00 before 7.1.8 beta2 allows remote attackers to cause a denial of service (crash) via vectors related to ""a null pointer of the username."""
2014,Candidate,"the compat_sys_recvmmsg function in net/compat.c in the linux kernel before 3.13.2, when config_x86_x32 is enabled, allows local users to gain privileges via a recvmmsg system call with a crafted timeout pointer parameter."
2014,Candidate,"untrusted search path vulnerability in fwsnort before 1.6.4, when not running as root, allows local users to execute arbitrary code via a trojan horse fwsnort.conf in the current working directory."
2014,Candidate,"openstack heat templates (heat-templates), as used in red hat enterprise linux openstack platform 4.0, uses an http connection to download (1) packages and (2) signing keys from yum repositories, which allows man-in-the-middle attackers to prevent updates via unspecified vectors."
2014,Candidate,"openstack heat templates (heat-templates), as used in red hat enterprise linux openstack platform 4.0, sets sslverify to false for certain yum repositories, which disables ssl protection and allows man-in-the-middle attackers to prevent updates via unspecified vectors."
2014,Candidate,"openstack heat templates (heat-templates), as used in red hat enterprise linux openstack platform 4.0, sets gpgcheck to 0 for certain templates, which disables gpg signature checking on downloaded packages and allows man-in-the-middle attackers to install arbitrary packages via unspecified vectors."
2014,Candidate,
2014,Candidate,"the opus_packet_get_samples_per_frame function in client in mumble 1.2.4 and the 1.2.3 pre-release snapshots allows remote attackers to cause a denial of service (crash) via a crafted length prefix value, which triggers a null pointer dereference or a heap-based buffer over-read (aka ""out-of-bounds array access"")."
2014,Candidate,"the needsamples method in audiooutputspeech.cpp in the client in mumble 1.2.4 and the 1.2.3 pre-release snapshots, mumble for ios 1.1 through 1.2.2, and mumblekit before commit fd190328a9b24d37382b269a5674b0c0c7a7e36d does not check the return value of the opus_decode_float function, which allows remote attackers to cause a denial of service (crash) and possibly execute arbitrary code via a crafted opus voice packet, which triggers an error in opus_decode_float, a conversion of a negative integer to an unsigned integer, and a heap-based buffer over-read and over-write."
2014,Candidate,"cross-site scripting (xss) vulnerability in the link-to helper in ember.js 1.2.x before 1.2.2, 1.3.x before 1.3.2, and 1.4.x before 1.4.0-beta.6, when used in non-block form, allows remote attackers to inject arbitrary web script or html via the title attribute."
2014,Candidate,
2014,Candidate,
2014,Candidate,buffer overflow in the complete_emulated_mmio function in arch/x86/kvm/x86.c in the linux kernel before 3.13.6 allows guest os users to execute arbitrary code on the host os by leveraging a loop that triggers an invalid memory copy affecting certain cancel_work_item data.
2014,Candidate,"multipartstream.java in apache commons fileupload before 1.3.1, as used in apache tomcat, jboss web, and other products, allows remote attackers to cause a denial of service (infinite loop and cpu consumption) via a crafted content-type header that bypasses a loop's intended exit conditions."
2014,Candidate,
2014,Candidate,
2014,Candidate,"the default configuration of the resources plugin 1.0.0 before 1.2.6 for pivotal grails 2.0.0 before 2.3.6 does not properly restrict access to files in the web-inf directory, which allows remote attackers to obtain sensitive information via a direct request.  note: this identifier has been split due to different researchers and different vulnerability types. see cve-2014-2857 for the meta-inf variant and cve-2014-2858 for the directory traversal."
2014,Candidate,"the jaxb2rootelementhttpmessageconverter in spring mvc in spring framework before 3.2.8 and 4.0.0 before 4.0.2 does not disable external entity resolution, which allows remote attackers to read arbitrary files, cause a denial of service, and conduct csrf attacks via crafted xml, aka an xml external entity (xxe) issue.  note: this vulnerability exists because of an incomplete fix for cve-2013-4152, cve-2013-7315, and cve-2013-6429."
2014,Candidate,"the get_rx_bufs function in drivers/vhost/net.c in the vhost-net subsystem in the linux kernel package before 2.6.32-431.11.2 on red hat enterprise linux (rhel) 6 does not properly handle vhost_get_vq_desc errors, which allows guest os users to cause a denial of service (host os crash) via unspecified vectors."
2014,Candidate,"the l3-agent in openstack neutron 2012.2 before 2013.2.3 does not check the tenant id when creating ports, which allows remote authenticated users to plug ports into the routers of arbitrary tenants via the device id in a port-create command."
2014,Candidate,the x_button method in the servicecontroller (vmdb/app/controllers/service_controller.rb) in red hat cloudforms 3.0 management engine 5.2 allows remote attackers to execute arbitrary methods via unspecified vectors.
2014,Candidate,"the security audit functionality in red hat jboss enterprise application platform (eap) 6.x before 6.2.1 logs request parameters in plaintext, which might allow local users to obtain passwords by reading the log files."
2014,Candidate,"jboss sx and picketbox, as used in red hat jboss enterprise application platform (eap) before 6.2.3, use world-readable permissions audit.log, which allows local users to obtain sensitive information by reading this file."
2014,Candidate,"postgresql before 8.4.20, 9.0.x before 9.0.16, 9.1.x before 9.1.12, 9.2.x before 9.2.7, and 9.3.x before 9.3.3 does not properly enforce the admin option restriction, which allows remote authenticated members of a role to add or remove arbitrary users to that role by calling the set role command before the associated grant command."
2014,Candidate,"the validator functions for the procedural languages (pls) in postgresql before 8.4.20, 9.0.x before 9.0.16, 9.1.x before 9.1.12, 9.2.x before 9.2.7, and 9.3.x before 9.3.3 allow remote authenticated users to gain privileges via a function that is (1) defined in another language or (2) not allowed to be directly called by the user due to permissions."
2014,Candidate,"race condition in the (1) create index and (2) unspecified alter table commands in postgresql before 8.4.20, 9.0.x before 9.0.16, 9.1.x before 9.1.12, 9.2.x before 9.2.7, and 9.3.x before 9.3.3 allows remote authenticated users to create an unauthorized index or read portions of unauthorized tables by creating or deleting a table with the same name during the timing window."
2014,Candidate,"multiple stack-based buffer overflows in postgresql before 8.4.20, 9.0.x before 9.0.16, 9.1.x before 9.1.12, 9.2.x before 9.2.7, and 9.3.x before 9.3.3 allow remote authenticated users to cause a denial of service (crash) or possibly execute arbitrary code via vectors related to an incorrect maxdatelen constant and datetime values involving (1) intervals, (2) timestamps, or (3) timezones, a different vulnerability than cve-2014-0065."
2014,Candidate,"multiple integer overflows in the path_in and other unspecified functions in postgresql before 8.4.20, 9.0.x before 9.0.16, 9.1.x before 9.1.12, 9.2.x before 9.2.7, and 9.3.x before 9.3.3 allow remote authenticated users to have unspecified impact and attack vectors, which trigger a buffer overflow.  note: this identifier has been split due to different affected versions; use cve-2014-2669 for the hstore vector."
2014,Candidate,"multiple buffer overflows in postgresql before 8.4.20, 9.0.x before 9.0.16, 9.1.x before 9.1.12, 9.2.x before 9.2.7, and 9.3.x before 9.3.3 allow remote authenticated users to have unspecified impact and attack vectors, a different vulnerability than cve-2014-0063."
2014,Candidate,"the chkpass extension in postgresql before 8.4.20, 9.0.x before 9.0.16, 9.1.x before 9.1.12, 9.2.x before 9.2.7, and 9.3.x before 9.3.3 does not properly check the return value of the crypt library function, which allows remote authenticated users to cause a denial of service (null pointer dereference and crash) via unspecified vectors."
2014,Candidate,"the ""make check"" command for the test suites in postgresql 9.3.3 and earlier does not properly invoke initdb to specify the authentication requirements for a database cluster to be used for the tests, which allows local users to gain privileges by leveraging access to this cluster."
2014,Candidate,
2014,Candidate,"the cifs_iovec_write function in fs/cifs/file.c in the linux kernel through 3.13.5 does not properly handle uncached write operations that copy fewer than the requested number of bytes, which allows local users to obtain sensitive information from kernel memory, cause a denial of service (memory corruption and system crash), or possibly gain privileges via a writev system call with a crafted pointer."
2014,Candidate,
2014,Candidate,"packstack in red hat openstack 4.0 does not enforce the default security groups when deployed to neutron, which allows remote attackers to bypass intended access restrictions and make unauthorized connections."
2014,Candidate,
2014,Candidate,
2014,Candidate,"apache shiro 1.x before 1.2.3, when using an ldap server with unauthenticated bind enabled, allows remote attackers to bypass authentication via an empty (1) username or (2) password."
2014,Candidate,"integer overflow in the parsechunkheader function in java/org/apache/coyote/http11/filters/chunkedinputfilter.java in apache tomcat before 6.0.40, 7.x before 7.0.53, and 8.x before 8.0.4 allows remote attackers to cause a denial of service (resource consumption) via a malformed chunk size in chunked transfer coding of a request during the streaming of data."
2014,Candidate,"the montgomery ladder implementation in openssl through 1.0.0l does not ensure that certain swap operations have a constant-time behavior, which makes it easier for local users to obtain ecdsa nonces via a flush+reload cache side-channel attack."
2014,Candidate,"drivers/vhost/net.c in the linux kernel before 3.13.10, when mergeable buffers are disabled, does not properly validate packet lengths, which allows guest os users to cause a denial of service (memory corruption and host os crash) or possibly gain privileges on the host os via crafted packets, related to the handle_rx and get_rx_bufs functions."
2014,Candidate,the catalogcontroller in red hat cloudforms management engine (cfme) before 5.2.3.2 allows remote authenticated users to delete arbitrary catalogs via vectors involving guessing the catalog id.
2014,Candidate,"the validateuserlogon function in provider/libserver/ecsession.cpp in zarafa 7.1.8, 6.20.0, and earlier, when using certain build conditions, allows remote attackers to cause a denial of service (crash) via vectors related to ""a null pointer of the password."""
2014,Candidate,"sql injection vulnerability in activerecord/lib/active_record/connection_adapters/postgresql/cast.rb in active record in ruby on rails 4.0.x before 4.0.3, and 4.1.0.beta1, when postgresql is used, allows remote attackers to execute ""add data"" sql commands via vectors involving \ (backslash) characters that are not properly handled in operations on array columns."
2014,Candidate,"multiple cross-site scripting (xss) vulnerabilities in actionview/lib/action_view/helpers/number_helper.rb in ruby on rails before 3.2.17, 4.0.x before 4.0.3, and 4.1.x before 4.1.0.beta2 allow remote attackers to inject arbitrary web script or html via the (1) format, (2) negative_format, or (3) units parameter to the (a) number_to_currency, (b) number_to_percentage, or (c) number_to_human helper."
2014,Candidate,"actionpack/lib/action_view/template/text.rb in action view in ruby on rails 3.x before 3.2.17 converts mime type strings to symbols during use of the :text option to the render method, which allows remote attackers to cause a denial of service (memory consumption) by including these strings in headers."
2014,Candidate,
2014,Candidate,
2014,Candidate,"apache zookeeper logs cleartext admin passwords, which allows local users to obtain sensitive information by reading the log."
2014,Candidate,"the dofilter function in webapp/pushhandlerfilter.java in jboss richfaces 4.3.4, 4.3.5, and 5.x allows remote attackers to cause a denial of service (memory consumption and out-of-memory error) via a large number of malformed atmosphere push requests."
2014,Candidate,
2014,Candidate,"the spdy implementation in the ngx_http_spdy_module module in nginx 1.5.10 before 1.5.11, when running on a 32-bit platform, allows remote attackers to execute arbitrary code via a crafted request."
2014,Candidate,cross-site scripting (xss) vulnerability in app/views/common/500.html.erb in foreman 1.4.x before 1.4.2 allows remote authenticated users to inject arbitrary web script or html via the bookmark name when adding a bookmark.
2014,Candidate,session fixation vulnerability in foreman before 1.4.2 allows remote attackers to hijack web sessions via the session id cookie.
2014,Candidate,
2014,Candidate,"lib/x509/verify.c in gnutls before 3.1.22 and 3.2.x before 3.2.12 does not properly handle unspecified errors when verifying x.509 certificates from ssl servers, which allows man-in-the-middle attackers to spoof servers via a crafted certificate."
2014,Candidate,"red hat jboss enterprise application platform (jbeap) 6.2.2, when using a java security manager (jsm), does not properly apply permissions defined by a policy file, which causes applications to be granted the java.security.allpermission permission and allows remote attackers to bypass intended access restrictions."
2014,Candidate,"the parametersinterceptor in apache struts before 2.3.16.1 allows remote attackers to ""manipulate"" the classloader via the class parameter, which is passed to the getclass method."
2014,Candidate,"java/org/apache/coyote/ajp/abstractajpprocessor.java in apache tomcat 8.x before 8.0.4 allows remote attackers to cause a denial of service (thread consumption) by using a ""content-length: 0"" ajp request to trigger a hang in request processing."
2014,Candidate,"java/org/apache/catalina/servlets/defaultservlet.java in the default servlet in apache tomcat before 6.0.40, 7.x before 7.0.53, and 8.x before 8.0.4 does not properly restrict xslt stylesheets, which allows remote attackers to bypass security-manager restrictions and read arbitrary files via a crafted web application that provides an xml external entity declaration in conjunction with an entity reference, related to an xml external entity (xxe) issue."
2014,Candidate,
2014,Candidate,the log_cookie function in mod_log_config.c in the mod_log_config module in the apache http server before 2.4.8 allows remote attackers to cause a denial of service (segmentation fault and daemon crash) via a crafted cookie that is not properly handled during truncation.
2014,Candidate,"integer overflow in java/org/apache/tomcat/util/buf/ascii.java in apache tomcat before 6.0.40, 7.x before 7.0.53, and 8.x before 8.0.4, when operated behind a reverse proxy, allows remote attackers to conduct http request smuggling attacks via a crafted content-length http header."
2014,Candidate,race condition in the inet_frag_intern function in net/ipv4/inet_fragment.c in the linux kernel through 3.13.6 allows remote attackers to cause a denial of service (use-after-free error) or possibly have unspecified other impact via a large series of fragmented icmp echo request packets to a system with a heavy cpu load.
2014,Candidate,"the sctp_sf_do_5_1d_ce function in net/sctp/sm_statefuns.c in the linux kernel through 3.13.6 does not validate certain auth_enable and auth_capable fields before making an sctp_sf_authenticate call, which allows remote attackers to cause a denial of service (null pointer dereference and system crash) via an sctp handshake with a modified init chunk and a crafted auth chunk before a cookie_echo chunk."
2014,Candidate,"the keyring_detect_cycle_iterator function in security/keys/keyring.c in the linux kernel through 3.13.6 does not properly determine whether keyrings are identical, which allows local users to cause a denial of service (oops) via crafted keyctl commands."
2014,Candidate,"webaccess in zarafa before 7.1.10 and webapp before 1.6 stores credentials in cleartext, which allows local apache users to obtain sensitive information by reading the php session files."
2014,Candidate,
2014,Candidate,"the auth_token middleware in the openstack python client library for keystone (aka python-keystoneclient) before 0.7.0 does not properly retrieve user tokens from memcache, which allows remote authenticated users to gain privileges in opportunistic circumstances via a large number of requests, related to an ""interaction between eventlet and python-memcached."""
2014,Candidate,"sudo 1.6.9 before 1.8.5, when env_reset is disabled, does not properly check environment variables for the env_delete restriction, which allows local users with sudo permissions to bypass intended command restrictions via a crafted environment variable."
2014,Candidate,"the transformerfactory in apache xalan-java before 2.7.2 does not properly restrict access to certain properties when feature_secure_processing is enabled, which allows remote attackers to bypass expected restrictions and load arbitrary classes or access external resources via a crafted (1) xalan:content-header, (2) xalan:entities, (3) xslt:content-header, or (4) xslt:entities property, or a java property that is bound to the xslt 1.0 system-property function."
2014,Candidate,
2014,Candidate,"apache cxf before 2.6.14 and 2.7.x before 2.7.11 allows remote attackers to cause a denial of service (memory consumption) via a large request with the content-type set to text/html to a soap endpoint, which triggers an error."
2014,Candidate,apache cxf before 2.6.14 and 2.7.x before 2.7.11 allows remote attackers to cause a denial of service (/tmp disk consumption) via a large invalid soap message.
2014,Candidate,"apache syncope 1.0.0 before 1.0.9 and 1.1.0 before 1.1.7 allows remote administrators to execute arbitrary java code via vectors related to apache commons jexl expressions, ""derived schema definition,"" ""user / role templates,"" and ""account links of resource mappings."""
2014,Candidate,"parametersinterceptor in apache struts before 2.3.16.2 does not properly restrict access to the getclass method, which allows remote attackers to ""manipulate"" the classloader and execute arbitrary code via a crafted request.  note: this vulnerability exists because of an incomplete fix for cve-2014-0094."
2014,Candidate,"cookieinterceptor in apache struts before 2.3.16.2, when a wildcard cookiesname value is used, does not properly restrict access to the getclass method, which allows remote attackers to ""manipulate"" the classloader and execute arbitrary code via a crafted request.  note: this vulnerability exists because of an incomplete fix for cve-2014-0094."
2014,Candidate,"apache commons beanutils, as distributed in lib/commons-beanutils-1.8.0.jar in apache struts 1.x through 1.3.10 and in other products requiring commons-beanutils through 1.9.2, does not suppress the class property, which allows remote attackers to ""manipulate"" the classloader and execute arbitrary code via the class parameter, as demonstrated by the passing of this parameter to the getclass method of the actionform object in struts 1."
2014,Candidate,
2014,Candidate,"cookieinterceptor in apache struts 2.x before 2.3.16.3, when a wildcard cookiesname value is used, does not properly restrict access to the getclass method, which allows remote attackers to ""manipulate"" the classloader and modify session state via a crafted request.  note: this vulnerability exists because of an incomplete fix for cve-2014-0113."
2014,Candidate,"the mod_proxy module in the apache http server 2.4.x before 2.4.10, when a reverse proxy is enabled, allows remote attackers to cause a denial of service (child-process crash) via a crafted http connection header."
2014,Candidate,"the deflate_in_filter function in mod_deflate.c in the mod_deflate module in the apache http server before 2.4.10, when request body decompression is enabled, allows remote attackers to cause a denial of service (resource consumption) via crafted request data that decompresses to a much larger size."
2014,Candidate,"apache tomcat before 6.0.40, 7.x before 7.0.54, and 8.x before 8.0.6 does not properly constrain the class loader that accesses the xml parser used with an xslt stylesheet, which allows remote attackers to (1) read arbitrary files via a crafted web application that provides an xml external entity declaration in conjunction with an entity reference, related to an xml external entity (xxe) issue, or (2) read files associated with different web applications on a single tomcat instance via a crafted web application."
2014,Candidate,
2014,Candidate,
2014,Candidate,"mod/chat/chat_ajax.php in moodle through 2.3.11, 2.4.x before 2.4.9, 2.5.x before 2.5.5, and 2.6.x before 2.6.2 does not properly check for the mod/chat:chat capability during chat sessions, which allows remote authenticated users to bypass intended access restrictions in opportunistic circumstances by remaining in a chat session after an intra-session capability removal by an administrator."
2014,Candidate,"the wiki subsystem in moodle through 2.3.11, 2.4.x before 2.4.9, 2.5.x before 2.5.5, and 2.6.x before 2.6.2 does not properly restrict (1) view and (2) edit access, which allows remote authenticated users to perform wiki operations by leveraging the student role and using the recent activity block to reach the individual wiki of an arbitrary student."
2014,Candidate,"the identity-reporting implementations in mod/forum/renderer.php and mod/quiz/override_form.php in moodle through 2.3.11, 2.4.x before 2.4.9, 2.5.x before 2.5.5, and 2.6.x before 2.6.2 do not properly restrict the display of e-mail addresses, which allows remote authenticated users to obtain sensitive information by using the (1) forum or (2) quiz module."
2014,Candidate,"repository/alfresco/lib.php in moodle through 2.3.11, 2.4.x before 2.4.9, 2.5.x before 2.5.5, and 2.6.x before 2.6.2 places a session key in a url, which allows remote attackers to bypass intended alfresco repository file restrictions by impersonating a file's owner."
2014,Candidate,"cross-site request forgery (csrf) vulnerability in enrol/imsenterprise/importnow.php in moodle through 2.3.11, 2.4.x before 2.4.9, 2.5.x before 2.5.5, and 2.6.x before 2.6.2 allows remote attackers to hijack the authentication of administrators for requests that import an ims enterprise file."
2014,Candidate,"the time-validation implementation in (1) mod/feedback/complete.php and (2) mod/feedback/complete_guest.php in moodle through 2.3.11, 2.4.x before 2.4.9, 2.5.x before 2.5.5, and 2.6.x before 2.6.2 allows remote authenticated users to bypass intended restrictions on starting a feedback activity by choosing an unavailable time."
2014,Candidate,"squid 3.1 before 3.3.12 and 3.4 before 3.4.4, when ssl-bump is enabled, allows remote attackers to cause a denial of service (assertion failure) via a crafted range request, related to state management."
2014,Candidate,"badges/mybadges.php in moodle 2.5.x before 2.5.5 and 2.6.x before 2.6.2 does not properly track the user to whom a badge was issued, which allows remote authenticated users to modify the visibility of an arbitrary badge via unspecified vectors."
2014,Candidate,"directory traversal vulnerability in actionpack/lib/abstract_controller/base.rb in the implicit-render implementation in ruby on rails before 3.2.18, 4.0.x before 4.0.5, and 4.1.x before 4.1.1, when certain route globbing configurations are enabled, allows remote attackers to read arbitrary files via a crafted request."
2014,Candidate,use-after-free vulnerability in the skb_segment function in net/core/skbuff.c in the linux kernel through 3.13.6 allows attackers to obtain sensitive information from kernel memory by leveraging the absence of a certain orphaning operation.
2014,Candidate,the sasl authentication functionality in 389 directory server before 1.2.11.26 allows remote authenticated users to connect as an arbitrary user and gain privileges via the authzid parameter in a sasl/gssapi bind.
2014,Candidate,heap-based buffer overflow in the spdy implementation in nginx 1.3.15 before 1.4.7 and 1.5.x before 1.5.12 allows remote attackers to execute arbitrary code via a crafted request.
2014,Candidate,"the instance rescue mode in openstack compute (nova) 2013.2 before 2013.2.3 and icehouse before 2014.1, when using libvirt to spawn images and use_cow_images is set to false, allows remote authenticated users to read certain compute host files by overwriting an instance disk with a crafted image."
2014,Candidate,"kafo before 0.3.17 and 0.4.x before 0.5.2, as used by foreman, uses world-readable permissions for default_values.yaml, which allows local users to obtain passwords and other sensitive information by reading the file."
2014,Candidate,the (1) get and (2) log methods in the agentcontroller in red hat cloudforms 3.0 management engine (cfme) 5.x allow remote attackers to insert arbitrary text into log files via unspecified vectors.
2014,Candidate,"sql injection vulnerability in the saved_report_delete action in the reportcontroller in red hat cloudforms management engine (cfme) before 5.2.3.2 allows remote authenticated users to execute arbitrary sql commands via unspecified vectors, related to miqreportresult.exists."
2014,Candidate,"the default configuration in curl and libcurl 7.10.6 before 7.36.0 re-uses (1) scp, (2) sftp, (3) pop3, (4) pop3s, (5) imap, (6) imaps, (7) smtp, (8) smtps, (9) ldap, and (10) ldaps connections, which might allow context-dependent attackers to connect as other users via a request, a similar issue to cve-2014-0015."
2014,Candidate,"curl and libcurl 7.1 before 7.36.0, when using the openssl, axtls, qsossl or gskit libraries for tls, recognize a wildcard ip address in the subject's common name (cn) field of an x.509 certificate, which might allow man-in-the-middle attackers to spoof arbitrary ssl servers via a crafted certificate issued by a legitimate certification authority."
2014,Candidate,red hat cloudforms 3.1 management engine (cfme) before 5.3 allows remote authenticated users to access sensitive controllers and actions via a direct http or https request.
2014,Candidate,
2014,Candidate,
2014,Candidate,
2014,Candidate,
2014,Candidate,
2014,Candidate,
2014,Candidate,
2014,Candidate,
2014,Candidate,multiple cross-site scripting (xss) vulnerabilities in red hat jboss web framework kit 2.5.0 allow remote attackers to inject arbitrary web script or html via a (1) parameter or (2) id name.
2014,Candidate,"integer overflow in the virtio_net_handle_mac function in hw/net/virtio-net.c in qemu 2.0 and earlier allows local guest users to execute arbitrary code via a mac addresses table update request, which triggers a heap-based buffer overflow."
2014,Candidate,cross-site request forgery (csrf) vulnerability in ovirt engine before 3.5.0 beta2 allows remote attackers to hijack the authentication of users for requests that perform unspecified actions via a rest api request.
2014,Candidate,session fixation vulnerability in the web admin interface in ovirt 3.4.0 and earlier allows remote attackers to hijack web sessions via unspecified vectors.
2014,Candidate,"the rest api in ovirt 3.4.0 and earlier stores session ids in html5 local storage, which allows remote attackers to obtain sensitive information via a crafted web page."
2014,Candidate,"ovirt engine before 3.5.0 does not include the httponly flag in a set-cookie header for the session ids, which makes it easier for remote attackers to obtain potentially sensitive information via script access to this cookie."
2014,Candidate,"the ioapic_deliver function in virt/kvm/ioapic.c in the linux kernel through 3.14.1 does not properly validate the kvm_irq_delivery_to_apic return value, which allows guest os users to cause a denial of service (host os crash) via a crafted entry in the redirection table of an i/o apic.  note: the affected code was moved to the ioapic_service function before the vulnerability was announced."
2014,Candidate,
2014,Candidate,cross-site scripting (xss) vulnerability in the horizon orchestration dashboard in openstack dashboard (aka horizon) 2013.2 before 2013.2.4 and icehouse before icehouse-rc2 allows remote attackers to inject arbitrary web script or html via the description field of a heat template.
2014,Candidate,
2014,Candidate,buffer overflow in the getstatistics64 remote procedure call (rpc) in openafs 1.4.8 before 1.6.7 allows remote attackers to cause a denial of service (crash) via a crafted statsversion argument.
2014,Candidate,"the (1) tls and (2) dtls implementations in openssl 1.0.1 before 1.0.1g do not properly handle heartbeat extension packets, which allows remote attackers to obtain sensitive information from process memory via crafted packets that trigger a buffer over-read, as demonstrated by reading private keys, related to d1_both.c and t1_lib.c, aka the heartbleed bug."
2014,Candidate,
2014,Candidate,the sheepdog backend in openstack image registry and delivery service (glance) 2013.2 before 2013.2.4 and icehouse before icehouse-rc2 allows remote authenticated users with permission to insert or modify an image to execute arbitrary commands via a crafted location.
2014,Candidate,
